raw,doi_sample,container_title,issn,publisher,venue_key,norm_raw,norm_key
2025 International Conference on Artificial Intelligence and Data Engineering (AIDE),10.1109/AIDE64228.2025.10986870,2025 International Conference on Artificial Intelligence and Data Engineering (AIDE),,IEEE,2025 international conference on artificial intelligence and data engineering  aide,2025 international conference on artificial intelligence and data engineering,2025 international conference on artificial intelligence and data engineering aide
Proceedings of the IEEE,10.1109/JPROC.2022.3141367,Proceedings of the IEEE,0018-9219,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0018-9219,ieee,issn 0018 9219
2008 IEEE Conference on Computer Vision and Pattern Recognition,10.1109/CVPR.2008.4587722,2008 IEEE Conference on Computer Vision and Pattern Recognition,,IEEE,2008 ieee conference on computer vision and pattern recognition,2008 ieee conference on computer vision and pattern recognition,2008 ieee conference on computer vision and pattern recognition
2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR'05),10.1109/CVPR.2005.102,2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR'05),,IEEE,2005 ieee computer society conference on computer vision and pattern recognition,2005 ieee computer society conference on computer vision and pattern recognition,2005 ieee computer society conference on computer vision and pattern recognition
2010 IEEE Computer Society Conference on Computer Vision and Pattern Recognition - Workshops,10.1109/CVPRW.2010.5543434,2010 IEEE Computer Society Conference on Computer Vision and Pattern Recognition - Workshops,,IEEE,2010 ieee computer society conference on computer vision and pattern recognition workshops,2010 ieee computer society conference on computer vision and pattern recognition workshops,2010 ieee computer society conference on computer vision and pattern recognition workshops
2022 14th International Conference on COMmunication Systems \& NETworkS (COMSNETS),10.1109/COMSNETS53615.2022.9668602,2022 14th International Conference on COMmunication Systems &amp; NETworkS (COMSNETS),,IEEE,2022 14th international conference on communication systems  amp  networks  comsnets,2022 14th international conference on communication systems networks,2022 14th international conference on communication systems amp networks comsnets
"2008 42nd Asilomar Conference on Signals, Systems and Computers",10.1109/ACSSC.2008.5074650,"2008 42nd Asilomar Conference on Signals, Systems and Computers",,IEEE,2008 42nd asilomar conference on signals  systems and computers,2008 42nd asilomar conference on signals systems and computers,2008 42nd asilomar conference on signals systems and computers
IEEE Transactions on Cognitive and Developmental Systems,10.1109/TCDS.2025.3566649,IEEE Transactions on Cognitive and Developmental Systems,2379-8920,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2379-8920,ieee trans cognitive and developmental systems,issn 2379 8920
2025 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),10.1109/I2MTC62753.2025.11079082,2025 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),,IEEE,2025 ieee international instrumentation and measurement technology conference,2025 ieee international instrumentation and measurement technology conference,2025 ieee international instrumentation and measurement technology conference
2021 International Conference on Data Mining Workshops (ICDMW),10.1109/ICDMW53433.2021.00063,2021 International Conference on Data Mining Workshops (ICDMW),,IEEE,2021 international conference on data mining workshops  icdmw,2021 international conference on data mining workshops,2021 international conference on data mining workshops icdmw
IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2021.3090470,IEEE Geoscience and Remote Sensing Letters,1545-598X,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1545-598X,ieee geoscience and remote sensing letters,issn 1545 598x
2017 IEEE 29th International Conference on Tools with Artificial Intelligence (ICTAI),10.1109/ICTAI.2017.00180,2017 IEEE 29th International Conference on Tools with Artificial Intelligence (ICTAI),,IEEE,2017 ieee 29th international conference on tools with artificial intelligence,2017 ieee 29th international conference on tools with artificial intelligence,2017 ieee 29th international conference on tools with artificial intelligence
Advances in Electromagnetics Empowered by Artificial Intelligence and Deep Learning,10.1002/9781119853923.ch6,Advances in Electromagnetics Empowered by Artificial Intelligence and Deep Learning,,Wiley,advances in electromagnetics empowered by artificial intelligence and deep learning,advances in electromagnetics empowered by artificial intelligence and deep learning,advances in electromagnetics empowered by artificial intelligence and deep learning
2023 8th International Conference on Communication and Electronics Systems (ICCES),10.1109/ICCES57224.2023.10192759,2023 8th International Conference on Communication and Electronics Systems (ICCES),,IEEE,2023 8th international conference on communication and electronics systems  icces,2023 8th international conference on communication and electronics systems,2023 8th international conference on communication and electronics systems icces
"IEEE/ACM Transactions on Audio, Speech, and Language Processing",10.1109/TASLP.2021.3122301,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",2329-9290,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2329-9290,ieee acm trans audio speech and language processing,issn 2329 9290
2024 10th International Conference on Advanced Computing and Communication Systems (ICACCS),10.1109/ICACCS60874.2024.10717316,2024 10th International Conference on Advanced Computing and Communication Systems (ICACCS),,IEEE,2024 10th international conference on advanced computing and communication systems  icaccs,2024 10th international conference on advanced computing and communication systems,2024 10th international conference on advanced computing and communication systems icaccs
IEEE Design \& Test,10.1109/MDAT.2024.3404117,IEEE Design &amp; Test,2168-2356,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2168-2356,ieee design test,issn 2168 2356
IEEE Potentials,10.1109/MPOT.2024.3491338,IEEE Potentials,0278-6648,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0278-6648,ieee potentials,issn 0278 6648
2023 IEEE 39th International Conference on Data Engineering (ICDE),10.1109/ICDE55515.2023.00385,2023 IEEE 39th International Conference on Data Engineering (ICDE),,IEEE,2023 ieee 39th international conference on data engineering,2023 ieee 39th international conference on data engineering,2023 ieee 39th international conference on data engineering
2023 IEEE International Conference On Artificial Intelligence Testing (AITest),10.1109/AITest58265.2023.00032,2023 IEEE International Conference On Artificial Intelligence Testing (AITest),,IEEE,2023 ieee international conference on artificial intelligence testing,2023 ieee international conference on artificial intelligence testing,2023 ieee international conference on artificial intelligence testing
2019 International Workshop on Multilayer Music Representation and Processing (MMRP),10.1109/MMRP.2019.00022,2019 International Workshop on Multilayer Music Representation and Processing (MMRP),,IEEE,2019 international workshop on multilayer music representation and processing  mmrp,2019 international workshop on multilayer music representation and processing,2019 international workshop on multilayer music representation and processing mmrp
IEEE Transactions on Fuzzy Systems,10.1109/TFUZZ.2023.3276978,IEEE Transactions on Fuzzy Systems,1063-6706,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1063-6706,ieee trans fuzzy systems,issn 1063 6706
2022 7th International Conference on Image and Signal Processing and their Applications (ISPA),10.1109/ISPA54004.2022.9786028,2022 7th International Conference on Image and Signal Processing and their Applications (ISPA),,IEEE,2022 7th international conference on image and signal processing and their applications  ispa,2022 7th international conference on image and signal processing and their applications,2022 7th international conference on image and signal processing and their applications ispa
2025 4th International Symposium on Computer Applications and Information Technology (ISCAIT),10.1109/ISCAIT64916.2025.11010595,2025 4th International Symposium on Computer Applications and Information Technology (ISCAIT),,IEEE,2025 4th international symposium on computer applications and information technology  iscait,2025 4th international symposium on computer applications and information technology,2025 4th international symposium on computer applications and information technology iscait
2019 2nd International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD.2019.8836978,2019 2nd International Conference on Artificial Intelligence and Big Data (ICAIBD),,IEEE,2019 2nd international conference on artificial intelligence and big data  icaibd,2019 2nd international conference on artificial intelligence and big data,2019 2nd international conference on artificial intelligence and big data icaibd
Tianjin University-IET Electrical \& Information Engineering Doctoral Forum (TJU IET 2023),10.1049/icp.2023.2822,IET Conference Proceedings,2732-4494,Institution of Engineering and Technology (IET),ISSN:2732-4494,tianjin university iet electrical information engineering doctoral forum,issn 2732 4494
2024 10th International HCI and UX Conference in Indonesia (CHIuXiD),10.1109/CHIuXiD64022.2024.10860622,2024 10th International HCI and UX Conference in Indonesia (CHIuXiD),,IEEE,2024 10th international hci and ux conference in indonesia  chiuxid,2024 10th international hci and ux conference in indonesia,2024 10th international hci and ux conference in indonesia chiuxid
"2024 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)",10.1109/TALE62452.2024.10834365,"2024 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)",,IEEE,2024 ieee international conference on teaching assessment and learning for engineering,2024 ieee international conference on teaching assessment and learning for engineering,2024 ieee international conference on teaching assessment and learning for engineering
IEEE Transactions on Vehicular Technology,10.1109/TVT.2024.3442292,IEEE Transactions on Vehicular Technology,0018-9545,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0018-9545,ieee trans vehicular technology,issn 0018 9545
IEEE Transactions on Learning Technologies,10.1109/TLT.2025.3606757,IEEE Transactions on Learning Technologies,1939-1382,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1939-1382,ieee trans learning technologies,issn 1939 1382
2024 IEEE 36th International Conference on Tools with Artificial Intelligence (ICTAI),10.1109/ICTAI62512.2024.00033,2024 IEEE 36th International Conference on Tools with Artificial Intelligence (ICTAI),,IEEE,2024 ieee 36th international conference on tools with artificial intelligence,2024 ieee 36th international conference on tools with artificial intelligence,2024 ieee 36th international conference on tools with artificial intelligence
"2025 IEEE 5th International Conference on Electronic Technology, Communication and Information (ICETCI)",10.1109/ICETCI64844.2025.11084045,"2025 IEEE 5th International Conference on Electronic Technology, Communication and Information (ICETCI)",,IEEE,2025 ieee 5th international conference on electronic technology communication and information,2025 ieee 5th international conference on electronic technology communication and information,2025 ieee 5th international conference on electronic technology communication and information
2024 The 9th International Conference on Power and Renewable Energy (ICPRE),10.1109/ICPRE62586.2024.10768582,2024 The 9th International Conference on Power and Renewable Energy (ICPRE),,IEEE,2024 the 9th international conference on power and renewable energy  icpre,2024 the 9th international conference on power and renewable energy,2024 the 9th international conference on power and renewable energy icpre
2024 IEEE International Conference on Multimedia and Expo (ICME),10.1109/ICME57554.2024.10688255,2024 IEEE International Conference on Multimedia and Expo (ICME),,IEEE,2024 ieee international conference on multimedia and expo,2024 ieee international conference on multimedia and expo,2024 ieee international conference on multimedia and expo
"2024 International Conference on Artificial Intelligence, Big Data, Computing and Data Communication Systems (icABCD)",10.1109/icABCD62167.2024.10645262,"2024 International Conference on Artificial Intelligence, Big Data, Computing and Data Communication Systems (icABCD)",,IEEE,2024 international conference on artificial intelligence  big data  computing and data communication systems  icabcd,2024 international conference on artificial intelligence big data computing and data communication systems,2024 international conference on artificial intelligence big data computing and data communication systems icabcd
"2023 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)",10.23919/SoftCOM58365.2023.10271595,"2023 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)",,IEEE,2023 international conference on software  telecommunications and computer networks  softcom,2023 international conference on software telecommunications and computer networks,2023 international conference on software telecommunications and computer networks softcom
2022 IEEE 34th International Conference on Tools with Artificial Intelligence (ICTAI),10.1109/ICTAI56018.2022.00033,2022 IEEE 34th International Conference on Tools with Artificial Intelligence (ICTAI),,IEEE,2022 ieee 34th international conference on tools with artificial intelligence,2022 ieee 34th international conference on tools with artificial intelligence,2022 ieee 34th international conference on tools with artificial intelligence
IEEE Latin America Transactions,10.1109/TLA.2025.11072501,IEEE Latin America Transactions,1548-0992,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1548-0992,ieee latin america transactions,issn 1548 0992
2024 IEEE International Conference on Artificial Intelligence in Engineering and Technology (IICAIET),10.1109/IICAIET62352.2024.10730450,2024 IEEE International Conference on Artificial Intelligence in Engineering and Technology (IICAIET),,IEEE,2024 ieee international conference on artificial intelligence in engineering and technology,2024 ieee international conference on artificial intelligence in engineering and technology,2024 ieee international conference on artificial intelligence in engineering and technology
Artificial Intelligence for Bone Disorder: Diagnosis and Treatment,10.1002/9781394230914.ch3,Artificial Intelligence for Bone Disorder,,Wiley,artificial intelligence for bone disorder,artificial intelligence for bone disorder diagnosis and treatment,artificial intelligence for bone disorder
ICC 2024 - IEEE International Conference on Communications,10.1109/ICC51166.2024.10622943,ICC 2024 - IEEE International Conference on Communications,,IEEE,icc 2024 ieee international conference on communications,icc 2024 ieee international conference on communications,icc 2024 ieee international conference on communications
2024 1st International Conference On Cryptography And Information Security (VCRIS),10.1109/VCRIS63677.2024.10813439,2024 1st International Conference On Cryptography And Information Security (VCRIS),,IEEE,2024 1st international conference on cryptography and information security  vcris,2024 1st international conference on cryptography and information security,2024 1st international conference on cryptography and information security vcris
"2025 2nd International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)",10.1109/RMKMATE64874.2025.11042380,"2025 2nd International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)",,IEEE,2025 2nd international conference on research methodologies in knowledge management  artificial intelligence and telecommunication engineering  rmkmate,2025 2nd international conference on research methodologies in knowledge management artificial intelligence and telecommunication engineering,2025 2nd international conference on research methodologies in knowledge management artificial intelligence and telecommunication engineering rmkmate
"2024 8th International Conference on Electronics, Communication and Aerospace Technology (ICECA)",10.1109/ICECA63461.2024.10800948,"2024 8th International Conference on Electronics, Communication and Aerospace Technology (ICECA)",,IEEE,2024 8th international conference on electronics  communication and aerospace technology  iceca,2024 8th international conference on electronics communication and aerospace technology,2024 8th international conference on electronics communication and aerospace technology iceca
2025 19th International Conference on Ubiquitous Information Management and Communication (IMCOM),10.1109/IMCOM64595.2025.10857545,2025 19th International Conference on Ubiquitous Information Management and Communication (IMCOM),,IEEE,2025 19th international conference on ubiquitous information management and communication  imcom,2025 19th international conference on ubiquitous information management and communication,2025 19th international conference on ubiquitous information management and communication imcom
"ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/ICASSP40776.2020.9054438,"ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,IEEE,icassp 2020 2020 ieee international conference on acoustics speech and signal processing,icassp 2020 2020 ieee international conference on acoustics speech and signal processing,icassp 2020 2020 ieee international conference on acoustics speech and signal processing
2020 3rd International Conference on Unmanned Systems (ICUS),10.1109/ICUS50048.2020.9274911,2020 3rd International Conference on Unmanned Systems (ICUS),,IEEE,2020 3rd international conference on unmanned systems  icus,2020 3rd international conference on unmanned systems,2020 3rd international conference on unmanned systems icus
2023 International Conference on Artificial Intelligence Innovation (ICAII),10.1109/ICAII59460.2023.10497435,2023 International Conference on Artificial Intelligence Innovation (ICAII),,IEEE,2023 international conference on artificial intelligence innovation  icaii,2023 international conference on artificial intelligence innovation,2023 international conference on artificial intelligence innovation icaii
"2022 22nd International Conference on Control, Automation and Systems (ICCAS)",10.23919/ICCAS55662.2022.10003937,"2022 22nd International Conference on Control, Automation and Systems (ICCAS)",,IEEE,2022 22nd international conference on control  automation and systems  iccas,2022 22nd international conference on control automation and systems,2022 22nd international conference on control automation and systems iccas
